TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription
40,83664,Thursday,3429904606.0,1,BATH AND SHOWER
40,184681,Sunday,7874231326.0,3,GROCERY DRY GOODS
8,2703,Friday,30045052421.0,1,INFANT CONSUMABLE HARDLINES
38,15865,Sunday,4178900105.0,3,GROCERY DRY GOODS
7,121505,Wednesday,3715820185.0,1,PRE PACKED DELI
7,155116,Monday,69922162117.0,2,COMM BREAD
999,25363,Monday,84417800786.0,-1,BEDDING
8,125264,Thursday,7874214755.0,2,COMM BREAD
40,98,Friday,74759932274.0,1,"CANDY, TOBACCO, COOKIES"
40,55360,Saturday,7874204020.0,1,HOUSEHOLD PAPER GOODS
42,2216,Friday,84105800519.0,1,PERSONAL CARE
38,3901,Friday,7763304338.0,1,COMM BREAD
25,190972,Sunday,88827325962.0,1,PERSONAL CARE
39,111790,Monday,3700094248.0,1,HOUSEHOLD PAPER GOODS
9,153729,Monday,7644011696.0,1,COOK AND DINE
9,40574,Thursday,88599870155.0,1,JEWELRY AND SUNGLASSES
33,183718,Saturday,3700084023.0,1,PERSONAL CARE
39,130625,Friday,7790019631.0,1,PRE PACKED DELI
25,134421,Friday,60538814416.0,1,SHOES
40,104680,Sunday,7874203950.0,1,HOUSEHOLD PAPER GOODS
24,144786,Sunday,2120057235.0,1,HOUSEHOLD CHEMICALS/SUPP
38,72959,Tuesday,71514172928.0,1,DAIRY
37,106004,Sunday,68896200806.0,1,PRODUCE
7,39814,Thursday,2840016205.0,1,IMPULSE MERCHANDISE
33,178789,Saturday,4650073940.0,1,HOUSEHOLD CHEMICALS/SUPP
34,157792,Tuesday,3907909171.0,1,PETS AND SUPPLIES
40,186480,Sunday,4178900122.0,3,GROCERY DRY GOODS
40,48462,Friday,68113106029.0,1,PHARMACY OTC
40,85041,Thursday,68113191702.0,1,SERVICE DELI
40,150782,Monday,5265100006.0,1,PHARMACY OTC
42,144646,Sunday,2454386865.0,1,MEDIA AND GAMING
5,178054,Saturday,68113102615.0,1,ELECTRONICS
999,6637,Saturday,68113163351.0,1,FINANCIAL SERVICES
